Oran,['Oranian', 'Oranian']
Kisangani,['Kisanganian']
gabon,['gabonese']
Ethiopia,['Ethiopian', 'Ethiopian']
Sunyani,['Sunyanian']
Koforidua,['Koforiduan']
Techiman,['Techimanian', 'Techimanian']
Wenchi,['Wenchian']
Foso,['Fosan']
Nairobi,['Nairobian']
Soweto,['Sowetan']
Kairouan,['Kairouani', 'Kairouani']
Kampala,['Kampalese', 'Kampalan']
Harare,['Hararean']
Toronto,['Torontonian']
Houston,['Houstonian', 'Houstonian', 'Houstonian']
Philadelphia,['Philadelphian', 'Philadelphian']
Montevideo,['Montevidean']
Jakarta,['Jakartan']
Sulawesi,['Sulawesian']
Sumatra,['Sumatran', 'Sumatran']
Auckland,['Aucklander', 'Aucklander', 'Aucklander']
Elbasan,['Elbasani', 'Elbasani']
Andorra,['Andorran', 'Andorran']
Vienna,['Viennese']
Styria,['Styrian', 'Styrian', 'Styrian']
Salzburg,['Salzburger']
Klagenfurt,['Klagenfurter']
Saalfelden,['Saalfeldener']
Opatija,['Opatijan']
Ostrava,['Ostravian']
Opava,['Opavian']
Akaa,['Akaan']
Forssa,['Forssan']
Hamina,['Haminan']
Heinola,['Heinolan']
Imatra,['Imatran', 'Imatran']
Kaarina,['Kaarinan']
Karkkila,['Karkkilan']
Kauhajoki,['Kauhajokian']
Kauhava,['Kauhavan']
Kerava,['Keravan']
Kokkola,['Kokkolan']
Kotka,['Kotkan']
Kouvola,['Kouvolan']
Laitila,['Laitilan']
Lapua,['Lapuan']
Lieksa,['Lieksan']
Lohja,['Lohjan']
Loimaa,['Loimaan']
Loviisa,['Loviisan']
Nivala,['Nivalan']
Orimattila,['Orimattilan']
Sastamala,['Sastamalan']
Savonlinna,['Savonlinnan']
Ulvila,['Ulvilan']
Vaasa,['Vaasan']
Vantaa,['Vantaan']
Ylivieska,['Ylivieskan']
Chania,['Chanian', 'Chanian', 'Chanian']
Mytilene,['Mytilenian']
Thessaly,['Thessalian']
Eleusina,['Eleusinian']
Megara,['Megarian']
Budapest,['Budapester']
Debrecen,['Debrecener', 'Debreceni']
Sopron,['Soproni']
Liechtenstein,['Liechtensteiner']
Lublin,['Lubliner']
Bucharest,['Bucharester']
Craiova,['Craiovan']
Oradea,['Oradean', 'Oradean']
Carei,['Careian']
Barcelona,['Barcelonian', 'Barcelonan']
Seville,['Sevillian']
Murcia,['Murcian', 'Murcian']
Granada,['Granadan', 'Granadan']
Pamplona,['Pamplonese']
Salamanca,['Salamancan', 'Salamancan']
Marbella,['Marbellan']
Geneva,['Genevan']
Bern,['Bernese', 'Berner']
Solothurn,['Solothurner']
Zug,['Zuger']
Odessa,['Odessan']
Zaporizhia,['Zaporizhian', 'Zaporizhian']
Poltava,['Poltavian']
Sumy,['Sumian']
Crimea,['Crimean', 'Crimean']
